dataset,feature,length,model_size,auc
Wikipedia (en),loss,0,410m,0.5161155
Wikipedia (en),loss,100,410m,0.5028360000000001
Wikipedia (en),loss,200,410m,0.5104460000000001
Wikipedia (en),loss,300,410m,0.5087845
Wikipedia (en),loss,400,410m,0.5059315
Wikipedia (en),loss,500,410m,0.5062025
Wikipedia (en),loss,600,410m,0.506174
Wikipedia (en),loss,700,410m,0.5010074999999999
Wikipedia (en),loss,800,410m,0.514996
Wikipedia (en),loss,900,410m,0.501544
Wikipedia (en),loss,0,1b,0.521375
Wikipedia (en),loss,100,1b,0.507796
Wikipedia (en),loss,200,1b,0.513489
Wikipedia (en),loss,300,1b,0.510532
Wikipedia (en),loss,400,1b,0.509184
Wikipedia (en),loss,500,1b,0.5072325000000001
Wikipedia (en),loss,600,1b,0.508245
Wikipedia (en),loss,700,1b,0.500985
Wikipedia (en),loss,800,1b,0.5172249999999999
Wikipedia (en),loss,900,1b,0.5052665000000001
Wikipedia (en),loss,0,2.8b,0.5182185
Wikipedia (en),loss,100,2.8b,0.514917
Wikipedia (en),loss,200,2.8b,0.5038155
Wikipedia (en),loss,300,2.8b,0.524833
Wikipedia (en),loss,400,2.8b,0.5214475000000001
Wikipedia (en),loss,500,2.8b,0.5038644999999999
Wikipedia (en),loss,600,2.8b,0.5213990000000001
Wikipedia (en),loss,700,2.8b,0.51648
Wikipedia (en),loss,800,2.8b,0.5306015
Wikipedia (en),loss,900,2.8b,0.515217
Wikipedia (en),loss,0,6.9b,0.522672
Wikipedia (en),loss,100,6.9b,0.516229
Wikipedia (en),loss,200,6.9b,0.5051675
Wikipedia (en),loss,300,6.9b,0.5194675
Wikipedia (en),loss,400,6.9b,0.5201560000000001
Wikipedia (en),loss,500,6.9b,0.5005200000000001
Wikipedia (en),loss,600,6.9b,0.5183475000000001
Wikipedia (en),loss,700,6.9b,0.513943
Wikipedia (en),loss,800,6.9b,0.527427
Wikipedia (en),loss,900,6.9b,0.5134805
Wikipedia (en),prob,0,410m,0.516306
Wikipedia (en),prob,100,410m,0.5029445
Wikipedia (en),prob,200,410m,0.51057
Wikipedia (en),prob,300,410m,0.5086345
Wikipedia (en),prob,400,410m,0.505722
Wikipedia (en),prob,500,410m,0.5064645000000001
Wikipedia (en),prob,600,410m,0.5062220000000001
Wikipedia (en),prob,700,410m,0.500963
Wikipedia (en),prob,800,410m,0.514864
Wikipedia (en),prob,900,410m,0.501498
Wikipedia (en),prob,0,1b,0.521558
Wikipedia (en),prob,100,1b,0.5076369999999999
Wikipedia (en),prob,200,1b,0.5133429999999999
Wikipedia (en),prob,300,1b,0.5104425
Wikipedia (en),prob,400,1b,0.5091319999999999
Wikipedia (en),prob,500,1b,0.5072045
Wikipedia (en),prob,600,1b,0.508423
Wikipedia (en),prob,700,1b,0.501712
Wikipedia (en),prob,800,1b,0.517397
Wikipedia (en),prob,900,1b,0.505385
Wikipedia (en),prob,0,2.8b,0.518192
Wikipedia (en),prob,100,2.8b,0.5147
Wikipedia (en),prob,200,2.8b,0.5036579999999999
Wikipedia (en),prob,300,2.8b,0.5248710000000001
Wikipedia (en),prob,400,2.8b,0.5212840000000001
Wikipedia (en),prob,500,2.8b,0.503468
Wikipedia (en),prob,600,2.8b,0.521424
Wikipedia (en),prob,700,2.8b,0.516369
Wikipedia (en),prob,800,2.8b,0.5309245
Wikipedia (en),prob,900,2.8b,0.51529
Wikipedia (en),prob,0,6.9b,0.52262
Wikipedia (en),prob,100,6.9b,0.516363
Wikipedia (en),prob,200,6.9b,0.505314
Wikipedia (en),prob,300,6.9b,0.5197019999999999
Wikipedia (en),prob,400,6.9b,0.520157
Wikipedia (en),prob,500,6.9b,0.500559
Wikipedia (en),prob,600,6.9b,0.5186630000000001
Wikipedia (en),prob,700,6.9b,0.5141
Wikipedia (en),prob,800,6.9b,0.5277729999999999
Wikipedia (en),prob,900,6.9b,0.51338
Wikipedia (en),ppl,0,410m,0.5161155
Wikipedia (en),ppl,100,410m,0.5028360000000001
Wikipedia (en),ppl,200,410m,0.5104460000000001
Wikipedia (en),ppl,300,410m,0.5087845
Wikipedia (en),ppl,400,410m,0.5059315
Wikipedia (en),ppl,500,410m,0.5062025
Wikipedia (en),ppl,600,410m,0.506174
Wikipedia (en),ppl,700,410m,0.5010074999999999
Wikipedia (en),ppl,800,410m,0.514996
Wikipedia (en),ppl,900,410m,0.501544
Wikipedia (en),ppl,0,1b,0.521375
Wikipedia (en),ppl,100,1b,0.507796
Wikipedia (en),ppl,200,1b,0.513489
Wikipedia (en),ppl,300,1b,0.510532
Wikipedia (en),ppl,400,1b,0.509184
Wikipedia (en),ppl,500,1b,0.5072325000000001
Wikipedia (en),ppl,600,1b,0.508245
Wikipedia (en),ppl,700,1b,0.500985
Wikipedia (en),ppl,800,1b,0.5172249999999999
Wikipedia (en),ppl,900,1b,0.5052665000000001
Wikipedia (en),ppl,0,2.8b,0.5182185
Wikipedia (en),ppl,100,2.8b,0.514917
Wikipedia (en),ppl,200,2.8b,0.5038155
Wikipedia (en),ppl,300,2.8b,0.524833
Wikipedia (en),ppl,400,2.8b,0.5214475000000001
Wikipedia (en),ppl,500,2.8b,0.5038644999999999
Wikipedia (en),ppl,600,2.8b,0.5213990000000001
Wikipedia (en),ppl,700,2.8b,0.51648
Wikipedia (en),ppl,800,2.8b,0.5306015
Wikipedia (en),ppl,900,2.8b,0.515217
Wikipedia (en),ppl,0,6.9b,0.522672
Wikipedia (en),ppl,100,6.9b,0.516229
Wikipedia (en),ppl,200,6.9b,0.5051675
Wikipedia (en),ppl,300,6.9b,0.5194675
Wikipedia (en),ppl,400,6.9b,0.5201560000000001
Wikipedia (en),ppl,500,6.9b,0.5005200000000001
Wikipedia (en),ppl,600,6.9b,0.5183475000000001
Wikipedia (en),ppl,700,6.9b,0.513943
Wikipedia (en),ppl,800,6.9b,0.527427
Wikipedia (en),ppl,900,6.9b,0.5134805
Wikipedia (en),mink_plus,0,410m,0.512723
Wikipedia (en),mink_plus,100,410m,0.510799
Wikipedia (en),mink_plus,200,410m,0.5217925
Wikipedia (en),mink_plus,300,410m,0.501516
Wikipedia (en),mink_plus,400,410m,0.51587
Wikipedia (en),mink_plus,500,410m,0.5069049999999999
Wikipedia (en),mink_plus,600,410m,0.51444
Wikipedia (en),mink_plus,700,410m,0.519117
Wikipedia (en),mink_plus,800,410m,0.524701
Wikipedia (en),mink_plus,900,410m,0.5110790000000001
Wikipedia (en),mink_plus,0,1b,0.517512
Wikipedia (en),mink_plus,100,1b,0.5020650000000001
Wikipedia (en),mink_plus,200,1b,0.524885
Wikipedia (en),mink_plus,300,1b,0.50586
Wikipedia (en),mink_plus,400,1b,0.508885
Wikipedia (en),mink_plus,500,1b,0.500937
Wikipedia (en),mink_plus,600,1b,0.5248590000000001
Wikipedia (en),mink_plus,700,1b,0.506421
Wikipedia (en),mink_plus,800,1b,0.515961
Wikipedia (en),mink_plus,900,1b,0.506443
Wikipedia (en),mink_plus,0,2.8b,0.516632
Wikipedia (en),mink_plus,100,2.8b,0.526852
Wikipedia (en),mink_plus,200,2.8b,0.5586309999999999
Wikipedia (en),mink_plus,300,2.8b,0.560308
Wikipedia (en),mink_plus,400,2.8b,0.5393370000000001
Wikipedia (en),mink_plus,500,2.8b,0.540395
Wikipedia (en),mink_plus,600,2.8b,0.578899
Wikipedia (en),mink_plus,700,2.8b,0.564901
Wikipedia (en),mink_plus,800,2.8b,0.5716269999999999
Wikipedia (en),mink_plus,900,2.8b,0.554162
Wikipedia (en),mink_plus,0,6.9b,0.5220859999999999
Wikipedia (en),mink_plus,100,6.9b,0.524177
Wikipedia (en),mink_plus,200,6.9b,0.553454
Wikipedia (en),mink_plus,300,6.9b,0.540471
Wikipedia (en),mink_plus,400,6.9b,0.527548
Wikipedia (en),mink_plus,500,6.9b,0.536524
Wikipedia (en),mink_plus,600,6.9b,0.5570679999999999
Wikipedia (en),mink_plus,700,6.9b,0.546383
Wikipedia (en),mink_plus,800,6.9b,0.556006
Wikipedia (en),mink_plus,900,6.9b,0.552046
Wikipedia (en),zlib,0,410m,0.5200785
Wikipedia (en),zlib,100,410m,0.514031
Wikipedia (en),zlib,200,410m,0.5040965
Wikipedia (en),zlib,300,410m,0.506132
Wikipedia (en),zlib,400,410m,0.5063359999999999
Wikipedia (en),zlib,500,410m,0.501686
Wikipedia (en),zlib,600,410m,0.5081944999999999
Wikipedia (en),zlib,700,410m,0.504544
Wikipedia (en),zlib,800,410m,0.5187714999999999
Wikipedia (en),zlib,900,410m,0.5009885000000001
Wikipedia (en),zlib,0,1b,0.5115525
Wikipedia (en),zlib,100,1b,0.512719
Wikipedia (en),zlib,200,1b,0.5005795
Wikipedia (en),zlib,300,1b,0.509257
Wikipedia (en),zlib,400,1b,0.5100305
Wikipedia (en),zlib,500,1b,0.5013035
Wikipedia (en),zlib,600,1b,0.5060245
Wikipedia (en),zlib,700,1b,0.503248
Wikipedia (en),zlib,800,1b,0.520311
Wikipedia (en),zlib,900,1b,0.5063145
Wikipedia (en),zlib,0,2.8b,0.5160199999999999
Wikipedia (en),zlib,100,2.8b,0.5021384999999999
Wikipedia (en),zlib,200,2.8b,0.5071654999999999
Wikipedia (en),zlib,300,2.8b,0.525328
Wikipedia (en),zlib,400,2.8b,0.5239165000000001
Wikipedia (en),zlib,500,2.8b,0.511343
Wikipedia (en),zlib,600,2.8b,0.5083835
Wikipedia (en),zlib,700,2.8b,0.512042
Wikipedia (en),zlib,800,2.8b,0.5358075
