dataset,feature,length,model_size,auc
Wikipedia (en),loss,0,410m,0.5003755
Wikipedia (en),loss,100,410m,0.515193
Wikipedia (en),loss,200,410m,0.501017
Wikipedia (en),loss,300,410m,0.5176655
Wikipedia (en),loss,400,410m,0.5144963157894736
Wikipedia (en),loss,500,410m,0.5011878272251309
Wikipedia (en),loss,600,410m,0.5096669611307421
Wikipedia (en),loss,700,410m,0.5239679089026915
Wikipedia (en),loss,800,410m,0.5237478991596639
Wikipedia (en),loss,900,410m,0.5198282312925171
Wikipedia (en),loss,0,1b,0.504035
Wikipedia (en),loss,100,1b,0.515119
Wikipedia (en),loss,200,1b,0.5015305000000001
Wikipedia (en),loss,300,1b,0.517854
Wikipedia (en),loss,400,1b,0.5229984210526315
Wikipedia (en),loss,500,1b,0.5019129581151832
Wikipedia (en),loss,600,1b,0.5183984098939929
Wikipedia (en),loss,700,1b,0.5258861283643892
Wikipedia (en),loss,800,1b,0.525515406162465
Wikipedia (en),loss,900,1b,0.5213180272108844
Wikipedia (en),loss,0,2.8b,0.5163074999999999
Wikipedia (en),loss,100,2.8b,0.5218855
Wikipedia (en),loss,200,2.8b,0.515947
Wikipedia (en),loss,300,2.8b,0.5083875
Wikipedia (en),loss,400,2.8b,0.5437352631578947
Wikipedia (en),loss,500,2.8b,0.5109424083769634
Wikipedia (en),loss,600,2.8b,0.5345477031802119
Wikipedia (en),loss,700,2.8b,0.5368136645962733
Wikipedia (en),loss,800,2.8b,0.536156862745098
Wikipedia (en),loss,900,2.8b,0.5091598639455782
Wikipedia (en),loss,0,6.9b,0.512931
Wikipedia (en),loss,100,6.9b,0.5230165
Wikipedia (en),loss,200,6.9b,0.5140815
Wikipedia (en),loss,300,6.9b,0.5087415
Wikipedia (en),loss,400,6.9b,0.5438415789473685
Wikipedia (en),loss,500,6.9b,0.5115876963350785
Wikipedia (en),loss,600,6.9b,0.5330159010600707
Wikipedia (en),loss,700,6.9b,0.5343540372670808
Wikipedia (en),loss,800,6.9b,0.531782913165266
Wikipedia (en),loss,900,6.9b,0.5125952380952381
Wikipedia (en),prob,0,410m,0.5001950000000001
Wikipedia (en),prob,100,410m,0.514996
Wikipedia (en),prob,200,410m,0.5011425
Wikipedia (en),prob,300,410m,0.517234
Wikipedia (en),prob,400,410m,0.5143463157894737
Wikipedia (en),prob,500,410m,0.5007434554973822
Wikipedia (en),prob,600,410m,0.5092597173144876
Wikipedia (en),prob,700,410m,0.5242722567287784
Wikipedia (en),prob,800,410m,0.5237086834733893
Wikipedia (en),prob,900,410m,0.5196938775510205
Wikipedia (en),prob,0,1b,0.503984
Wikipedia (en),prob,100,1b,0.51525
Wikipedia (en),prob,200,1b,0.501642
Wikipedia (en),prob,300,1b,0.517855
Wikipedia (en),prob,400,1b,0.5231515789473684
Wikipedia (en),prob,500,1b,0.5019397905759162
Wikipedia (en),prob,600,1b,0.5184893992932862
Wikipedia (en),prob,700,1b,0.525991718426501
Wikipedia (en),prob,800,1b,0.5252997198879551
Wikipedia (en),prob,900,1b,0.5213367346938776
Wikipedia (en),prob,0,2.8b,0.5162789999999999
Wikipedia (en),prob,100,2.8b,0.5218149999999999
Wikipedia (en),prob,200,2.8b,0.515707
Wikipedia (en),prob,300,2.8b,0.5084609999999999
Wikipedia (en),prob,400,2.8b,0.5439410526315789
Wikipedia (en),prob,500,2.8b,0.5108619109947644
Wikipedia (en),prob,600,2.8b,0.5345671378091873
Wikipedia (en),prob,700,2.8b,0.5370910973084886
Wikipedia (en),prob,800,2.8b,0.5367254901960784
Wikipedia (en),prob,900,2.8b,0.5089846938775511
Wikipedia (en),prob,0,6.9b,0.512917
Wikipedia (en),prob,100,6.9b,0.523019
Wikipedia (en),prob,200,6.9b,0.514227
Wikipedia (en),prob,300,6.9b,0.508547
Wikipedia (en),prob,400,6.9b,0.5436
Wikipedia (en),prob,500,6.9b,0.5116989528795811
Wikipedia (en),prob,600,6.9b,0.5330989399293287
Wikipedia (en),prob,700,6.9b,0.5346853002070393
Wikipedia (en),prob,800,6.9b,0.5314817927170867
Wikipedia (en),prob,900,6.9b,0.5123809523809524
Wikipedia (en),ppl,0,410m,0.5003755
Wikipedia (en),ppl,100,410m,0.515193
Wikipedia (en),ppl,200,410m,0.501017
Wikipedia (en),ppl,300,410m,0.5176655
Wikipedia (en),ppl,400,410m,0.5144963157894736
Wikipedia (en),ppl,500,410m,0.5011878272251309
Wikipedia (en),ppl,600,410m,0.5096669611307421
Wikipedia (en),ppl,700,410m,0.5239679089026915
Wikipedia (en),ppl,800,410m,0.5237478991596639
Wikipedia (en),ppl,900,410m,0.5198282312925171
Wikipedia (en),ppl,0,1b,0.504035
Wikipedia (en),ppl,100,1b,0.515119
Wikipedia (en),ppl,200,1b,0.5015305000000001
Wikipedia (en),ppl,300,1b,0.517854
Wikipedia (en),ppl,400,1b,0.5229984210526315
Wikipedia (en),ppl,500,1b,0.5019129581151832
Wikipedia (en),ppl,600,1b,0.5183984098939929
Wikipedia (en),ppl,700,1b,0.5258861283643892
Wikipedia (en),ppl,800,1b,0.525515406162465
Wikipedia (en),ppl,900,1b,0.5213180272108844
Wikipedia (en),ppl,0,2.8b,0.5163074999999999
Wikipedia (en),ppl,100,2.8b,0.5218855
Wikipedia (en),ppl,200,2.8b,0.515947
Wikipedia (en),ppl,300,2.8b,0.5083875
Wikipedia (en),ppl,400,2.8b,0.5437352631578947
Wikipedia (en),ppl,500,2.8b,0.5109424083769634
Wikipedia (en),ppl,600,2.8b,0.5345477031802119
Wikipedia (en),ppl,700,2.8b,0.5368136645962733
Wikipedia (en),ppl,800,2.8b,0.536156862745098
Wikipedia (en),ppl,900,2.8b,0.5091598639455782
Wikipedia (en),ppl,0,6.9b,0.512931
Wikipedia (en),ppl,100,6.9b,0.5230165
Wikipedia (en),ppl,200,6.9b,0.5140815
Wikipedia (en),ppl,300,6.9b,0.5087415
Wikipedia (en),ppl,400,6.9b,0.5438415789473685
Wikipedia (en),ppl,500,6.9b,0.5115876963350785
Wikipedia (en),ppl,600,6.9b,0.5330159010600707
Wikipedia (en),ppl,700,6.9b,0.5343540372670808
Wikipedia (en),ppl,800,6.9b,0.531782913165266
Wikipedia (en),ppl,900,6.9b,0.5125952380952381
Wikipedia (en),mink_plus,0,410m,0.512106
Wikipedia (en),mink_plus,100,410m,0.50147
Wikipedia (en),mink_plus,200,410m,0.511795
Wikipedia (en),mink_plus,300,410m,0.5110575
Wikipedia (en),mink_plus,400,410m,0.510558947368421
Wikipedia (en),mink_plus,500,410m,0.5064384816753926
Wikipedia (en),mink_plus,600,410m,0.5099275618374558
Wikipedia (en),mink_plus,700,410m,0.5096977225672878
Wikipedia (en),mink_plus,800,410m,0.5278459383753502
Wikipedia (en),mink_plus,900,410m,0.5204217687074829
Wikipedia (en),mink_plus,0,1b,0.522779
Wikipedia (en),mink_plus,100,1b,0.51505
Wikipedia (en),mink_plus,200,1b,0.518057
Wikipedia (en),mink_plus,300,1b,0.5183310000000001
Wikipedia (en),mink_plus,400,1b,0.5230694736842105
Wikipedia (en),mink_plus,500,1b,0.5114685863874344
Wikipedia (en),mink_plus,600,1b,0.5288657243816255
Wikipedia (en),mink_plus,700,1b,0.5165196687370601
Wikipedia (en),mink_plus,800,1b,0.5258935574229693
Wikipedia (en),mink_plus,900,1b,0.5415510204081633
Wikipedia (en),mink_plus,0,2.8b,0.5496030000000001
Wikipedia (en),mink_plus,100,2.8b,0.5403769999999999
Wikipedia (en),mink_plus,200,2.8b,0.5510160000000001
Wikipedia (en),mink_plus,300,2.8b,0.554505
Wikipedia (en),mink_plus,400,2.8b,0.5671
Wikipedia (en),mink_plus,500,2.8b,0.5472853403141361
Wikipedia (en),mink_plus,600,2.8b,0.5665618374558304
Wikipedia (en),mink_plus,700,2.8b,0.5614824016563147
Wikipedia (en),mink_plus,800,2.8b,0.5802745098039216
Wikipedia (en),mink_plus,900,2.8b,0.5866292517006804
Wikipedia (en),mink_plus,0,6.9b,0.5319715
Wikipedia (en),mink_plus,100,6.9b,0.546475
Wikipedia (en),mink_plus,200,6.9b,0.553229
Wikipedia (en),mink_plus,300,6.9b,0.55377
Wikipedia (en),mink_plus,400,6.9b,0.559
Wikipedia (en),mink_plus,500,6.9b,0.5401649214659686
Wikipedia (en),mink_plus,600,6.9b,0.5635017667844524
Wikipedia (en),mink_plus,700,6.9b,0.5533478260869565
Wikipedia (en),mink_plus,800,6.9b,0.5491526610644258
Wikipedia (en),mink_plus,900,6.9b,0.5723707482993198
Wikipedia (en),zlib,0,410m,0.5087665
Wikipedia (en),zlib,100,410m,0.5212205
Wikipedia (en),zlib,200,410m,0.5032325
Wikipedia (en),zlib,300,410m,0.5101995
Wikipedia (en),zlib,400,410m,0.5117773684210526
Wikipedia (en),zlib,500,410m,0.5033200261780105
Wikipedia (en),zlib,600,410m,0.5082252650176678
Wikipedia (en),zlib,700,410m,0.5225455486542443
Wikipedia (en),zlib,800,410m,0.5284285714285715
Wikipedia (en),zlib,900,410m,0.5140459183673469
Wikipedia (en),zlib,0,1b,0.5040055
Wikipedia (en),zlib,100,1b,0.5204925
Wikipedia (en),zlib,200,1b,0.505934
Wikipedia (en),zlib,300,1b,0.511162
Wikipedia (en),zlib,400,1b,0.5218605263157894
Wikipedia (en),zlib,500,1b,0.5035935863874346
Wikipedia (en),zlib,600,1b,0.5169302120141344
Wikipedia (en),zlib,700,1b,0.5254585921325051
Wikipedia (en),zlib,800,1b,0.5301470588235294
Wikipedia (en),zlib,900,1b,0.5067976190476191
Wikipedia (en),zlib,0,2.8b,0.5102745
Wikipedia (en),zlib,100,2.8b,0.523869
Wikipedia (en),zlib,200,2.8b,0.5205785
Wikipedia (en),zlib,300,2.8b,0.500149
Wikipedia (en),zlib,400,2.8b,0.5451163157894736
Wikipedia (en),zlib,500,2.8b,0.506615837696335
Wikipedia (en),zlib,600,2.8b,0.5355194346289753
Wikipedia (en),zlib,700,2.8b,0.5391335403726707
Wikipedia (en),zlib,800,2.8b,0.5438193277310923
Wikipedia (en),zlib,900,2.8b,0.5141275510204082
Wikipedia (en),zlib,0,6.9b,0.506987
Wikipedia (en),zlib,100,6.9b,0.525343
Wikipedia (en),zlib,200,6.9b,0.5191174999999999
Wikipedia (en),zlib,300,6.9b,0.5003725
Wikipedia (en),zlib,400,6.9b,0.5456284210526317
Wikipedia (en),zlib,500,6.9b,0.5066348167539267
Wikipedia (en),zlib,600,6.9b,0.5347985865724382
Wikipedia (en),zlib,700,6.9b,0.5365538302277433
Wikipedia (en),zlib,800,6.9b,0.5389803921568628
Wikipedia (en),zlib,900,6.9b,0.5101496598639457
Wikipedia (en),grad,0,410m,0.5114730000000001
Wikipedia (en),grad,100,410m,0.501865
Wikipedia (en),grad,200,410m,0.5025035
Wikipedia (en),grad,300,410m,0.514394
Wikipedia (en),grad,400,410m,0.5094905263157895
Wikipedia (en),grad,500,410m,0.5199548429319372
Wikipedia (en),grad,600,410m,0.5075759717314487
Wikipedia (en),grad,700,410m,0.5173623188405797
Wikipedia (en),grad,800,410m,0.5131988795518208
Wikipedia (en),grad,900,410m,0.5171853741496599
Wikipedia (en),grad,0,1b,0.5075179999999999
Wikipedia (en),grad,100,1b,0.504337
Wikipedia (en),grad,200,1b,0.501298
Wikipedia (en),grad,300,1b,0.5100040000000001
Wikipedia (en),grad,400,1b,0.5034236842105263
Wikipedia (en),grad,500,1b,0.5065994764397905
Wikipedia (en),grad,600,1b,0.5247791519434629
Wikipedia (en),grad,700,1b,0.5123819875776398
Wikipedia (en),grad,800,1b,0.5168683473389355
Wikipedia (en),grad,900,1b,0.5354642857142857
Wikipedia (en),grad,0,2.8b,0.5006539999999999
Wikipedia (en),grad,100,2.8b,0.5384395
Wikipedia (en),grad,200,2.8b,0.522872
Wikipedia (en),grad,300,2.8b,0.529694
Wikipedia (en),grad,400,2.8b,0.5045568421052632
Wikipedia (en),grad,500,2.8b,0.5144770942408377
Wikipedia (en),grad,600,2.8b,0.5329381625441696
Wikipedia (en),grad,700,2.8b,0.5350020703933748
Wikipedia (en),grad,800,2.8b,0.5482997198879551
Wikipedia (en),grad,900,2.8b,0.5669166666666667
Wikipedia (en),grad,0,6.9b,0.5018815
Wikipedia (en),grad,100,6.9b,0.544836
Wikipedia (en),grad,200,6.9b,0.5067444999999999
Wikipedia (en),grad,300,6.9b,0.5172245
Wikipedia (en),grad,400,6.9b,0.5254584210526316
Wikipedia (en),grad,500,6.9b,0.5102833769633508
Wikipedia (en),grad,600,6.9b,0.5299540636042404
Wikipedia (en),grad,700,6.9b,0.5490134575569359
Wikipedia (en),grad,800,6.9b,0.5304621848739497
Wikipedia (en),grad,900,6.9b,0.5141003401360544
Wikipedia (en),refer,0,410m,0.500896
Wikipedia (en),refer,100,410m,0.5112765
Wikipedia (en),refer,200,410m,0.5013004999999999
Wikipedia (en),refer,300,410m,0.5219995
Wikipedia (en),refer,400,410m,0.5260157894736841
Wikipedia (en),refer,500,410m,0.5019823298429319
Wikipedia (en),refer,600,410m,0.5151625441696113
Wikipedia (en),refer,700,410m,0.5233985507246377
Wikipedia (en),refer,800,410m,0.5167310924369748
Wikipedia (en),refer,900,410m,0.5305289115646259
Wikipedia (en),refer,0,1b,0.500896
Wikipedia (en),refer,100,1b,0.5112765
Wikipedia (en),refer,200,1b,0.5013004999999999
Wikipedia (en),refer,300,1b,0.5219995
Wikipedia (en),refer,400,1b,0.5260157894736841
Wikipedia (en),refer,500,1b,0.5019823298429319
Wikipedia (en),refer,600,1b,0.5151625441696113
Wikipedia (en),refer,700,1b,0.5233985507246377
Wikipedia (en),refer,800,1b,0.5167310924369748
Wikipedia (en),refer,900,1b,0.5305289115646259
Wikipedia (en),refer,0,2.8b,0.500896
Wikipedia (en),refer,100,2.8b,0.5112765
Wikipedia (en),refer,200,2.8b,0.5013004999999999
Wikipedia (en),refer,300,2.8b,0.5219995
Wikipedia (en),refer,400,2.8b,0.5260157894736841
Wikipedia (en),refer,500,2.8b,0.5019823298429319
Wikipedia (en),refer,600,2.8b,0.5151625441696113
Wikipedia (en),refer,700,2.8b,0.5233985507246377
Wikipedia (en),refer,800,2.8b,0.5167310924369748
Wikipedia (en),refer,900,2.8b,0.5305289115646259
Wikipedia (en),refer,0,6.9b,0.500896
Wikipedia (en),refer,100,6.9b,0.5112765
Wikipedia (en),refer,200,6.9b,0.5013004999999999
Wikipedia (en),refer,300,6.9b,0.5219995
Wikipedia (en),refer,400,6.9b,0.5260157894736841
Wikipedia (en),refer,500,6.9b,0.5019823298429319
Wikipedia (en),refer,600,6.9b,0.5151625441696113
Wikipedia (en),refer,700,6.9b,0.5233985507246377
Wikipedia (en),refer,800,6.9b,0.5167310924369748
Wikipedia (en),refer,900,6.9b,0.5305289115646259
StackExchange,loss,0,410m,0.5009615000000001
StackExchange,loss,100,410m,0.5038604999999999
StackExchange,loss,200,410m,0.5084985
StackExchange,loss,300,410m,0.503432
StackExchange,loss,400,410m,0.5210459999999999
StackExchange,loss,500,410m,0.5161410000000001
StackExchange,loss,600,410m,0.5072261904761904
StackExchange,loss,700,410m,0.5053861386138614
StackExchange,loss,800,410m,0.5096945454545454
StackExchange,loss,900,410m,0.5153423236514523
StackExchange,loss,0,1b,0.5006305
StackExchange,loss,100,1b,0.5039375
StackExchange,loss,200,1b,0.5069455
StackExchange,loss,300,1b,0.5036894999999999
StackExchange,loss,400,1b,0.5213479999999999
StackExchange,loss,500,1b,0.5155955
StackExchange,loss,600,1b,0.5042665343915343
StackExchange,loss,700,1b,0.5035376237623762
StackExchange,loss,800,1b,0.5094781818181818
StackExchange,loss,900,1b,0.5190290456431536
StackExchange,loss,0,2.8b,0.50387
StackExchange,loss,100,2.8b,0.500995
StackExchange,loss,200,2.8b,0.5023385
StackExchange,loss,300,2.8b,0.506209
StackExchange,loss,400,2.8b,0.5155655
StackExchange,loss,500,2.8b,0.5116585
StackExchange,loss,600,2.8b,0.5007268518518518
StackExchange,loss,700,2.8b,0.5006346534653465
StackExchange,loss,800,2.8b,0.5128254545454545
StackExchange,loss,900,2.8b,0.5222095435684647
StackExchange,loss,0,6.9b,0.505178
StackExchange,loss,100,6.9b,0.5018955
StackExchange,loss,200,6.9b,0.5019134999999999
StackExchange,loss,300,6.9b,0.5081169999999999
StackExchange,loss,400,6.9b,0.5138940000000001
StackExchange,loss,500,6.9b,0.5084725
StackExchange,loss,600,6.9b,0.502031746031746
StackExchange,loss,700,6.9b,0.5025514851485149
StackExchange,loss,800,6.9b,0.5139690909090908
StackExchange,loss,900,6.9b,0.5251493775933609
StackExchange,prob,0,410m,0.500772
StackExchange,prob,100,410m,0.50406
StackExchange,prob,200,410m,0.508749
StackExchange,prob,300,410m,0.503601
StackExchange,prob,400,410m,0.521111
StackExchange,prob,500,410m,0.516172
StackExchange,prob,600,410m,0.5071931216931218
StackExchange,prob,700,410m,0.5052574257425743
StackExchange,prob,800,410m,0.5096690909090908
StackExchange,prob,900,410m,0.5154439834024896
StackExchange,prob,0,1b,0.5006120000000001
StackExchange,prob,100,1b,0.504228
StackExchange,prob,200,1b,0.506835
StackExchange,prob,300,1b,0.503618
StackExchange,prob,400,1b,0.521185
StackExchange,prob,500,1b,0.515605
StackExchange,prob,600,1b,0.5041362433862433
StackExchange,prob,700,1b,0.5036217821782178
StackExchange,prob,800,1b,0.5096181818181819
StackExchange,prob,900,1b,0.5187966804979254
StackExchange,prob,0,2.8b,0.503838
StackExchange,prob,100,2.8b,0.501128
StackExchange,prob,200,2.8b,0.50227
StackExchange,prob,300,2.8b,0.50637
StackExchange,prob,400,2.8b,0.515572
StackExchange,prob,500,2.8b,0.511617
StackExchange,prob,600,2.8b,0.500707671957672
StackExchange,prob,700,2.8b,0.500550495049505
StackExchange,prob,800,2.8b,0.5130218181818182
StackExchange,prob,900,2.8b,0.5222323651452283
StackExchange,prob,0,6.9b,0.505073
StackExchange,prob,100,6.9b,0.502189
StackExchange,prob,200,6.9b,0.5018670000000001
StackExchange,prob,300,6.9b,0.508101
StackExchange,prob,400,6.9b,0.51386
StackExchange,prob,500,6.9b,0.508461
StackExchange,prob,600,6.9b,0.5019285714285714
StackExchange,prob,700,6.9b,0.5024693069306931
StackExchange,prob,800,6.9b,0.5140872727272727
StackExchange,prob,900,6.9b,0.525298755186722
StackExchange,ppl,0,410m,0.5009615000000001
StackExchange,ppl,100,410m,0.5038604999999999
StackExchange,ppl,200,410m,0.5084985
StackExchange,ppl,300,410m,0.503432
StackExchange,ppl,400,410m,0.5210459999999999
StackExchange,ppl,500,410m,0.5161410000000001
StackExchange,ppl,600,410m,0.5072261904761904
StackExchange,ppl,700,410m,0.5053861386138614
StackExchange,ppl,800,410m,0.5096945454545454
StackExchange,ppl,900,410m,0.5153423236514523
StackExchange,ppl,0,1b,0.5006305
StackExchange,ppl,100,1b,0.5039375
StackExchange,ppl,200,1b,0.5069455
StackExchange,ppl,300,1b,0.5036894999999999
StackExchange,ppl,400,1b,0.5213479999999999
StackExchange,ppl,500,1b,0.5155955
StackExchange,ppl,600,1b,0.5042665343915343
StackExchange,ppl,700,1b,0.5035376237623762
StackExchange,ppl,800,1b,0.5094781818181818
StackExchange,ppl,900,1b,0.5190290456431536
StackExchange,ppl,0,2.8b,0.50387
StackExchange,ppl,100,2.8b,0.500995
StackExchange,ppl,200,2.8b,0.5023385
StackExchange,ppl,300,2.8b,0.506209
StackExchange,ppl,400,2.8b,0.5155655
StackExchange,ppl,500,2.8b,0.5116585
StackExchange,ppl,600,2.8b,0.5007268518518518
StackExchange,ppl,700,2.8b,0.5006346534653465
StackExchange,ppl,800,2.8b,0.5128254545454545
StackExchange,ppl,900,2.8b,0.5222095435684647
StackExchange,ppl,0,6.9b,0.505178
StackExchange,ppl,100,6.9b,0.5018955
StackExchange,ppl,200,6.9b,0.5019134999999999
StackExchange,ppl,300,6.9b,0.5081169999999999
StackExchange,ppl,400,6.9b,0.5138940000000001
StackExchange,ppl,500,6.9b,0.5084725
StackExchange,ppl,600,6.9b,0.502031746031746
StackExchange,ppl,700,6.9b,0.5025514851485149
StackExchange,ppl,800,6.9b,0.5139690909090908
StackExchange,ppl,900,6.9b,0.5251493775933609
StackExchange,mink_plus,0,410m,0.514887
StackExchange,mink_plus,100,410m,0.504826
StackExchange,mink_plus,200,410m,0.513405
StackExchange,mink_plus,300,410m,0.5039309999999999
StackExchange,mink_plus,400,410m,0.5018475
StackExchange,mink_plus,500,410m,0.516726
StackExchange,mink_plus,600,410m,0.5291613756613757
StackExchange,mink_plus,700,410m,0.5062336633663367
StackExchange,mink_plus,800,410m,0.5075745454545455
StackExchange,mink_plus,900,410m,0.5071825726141079
StackExchange,mink_plus,0,1b,0.5223679999999999
StackExchange,mink_plus,100,1b,0.506775
StackExchange,mink_plus,200,1b,0.511784
StackExchange,mink_plus,300,1b,0.50438
StackExchange,mink_plus,400,1b,0.50732
StackExchange,mink_plus,500,1b,0.5109739999999999
StackExchange,mink_plus,600,1b,0.5379312169312169
StackExchange,mink_plus,700,1b,0.5231128712871287
StackExchange,mink_plus,800,1b,0.5485381818181818
StackExchange,mink_plus,900,1b,0.5064979253112034
StackExchange,mink_plus,0,2.8b,0.528373
StackExchange,mink_plus,100,2.8b,0.515771
StackExchange,mink_plus,200,2.8b,0.518986
StackExchange,mink_plus,300,2.8b,0.517134
StackExchange,mink_plus,400,2.8b,0.51793
StackExchange,mink_plus,500,2.8b,0.513829
StackExchange,mink_plus,600,2.8b,0.5603333333333333
StackExchange,mink_plus,700,2.8b,0.5373485148514852
StackExchange,mink_plus,800,2.8b,0.5770727272727273
StackExchange,mink_plus,900,2.8b,0.5347385892116182
StackExchange,mink_plus,0,6.9b,0.525876
StackExchange,mink_plus,100,6.9b,0.5223530000000001
StackExchange,mink_plus,200,6.9b,0.540508
StackExchange,mink_plus,300,6.9b,0.521568
StackExchange,mink_plus,400,6.9b,0.5285389999999999
StackExchange,mink_plus,500,6.9b,0.537586
StackExchange,mink_plus,600,6.9b,0.5668743386243387
StackExchange,mink_plus,700,6.9b,0.5563049504950495
StackExchange,mink_plus,800,6.9b,0.5803236363636364
StackExchange,mink_plus,900,6.9b,0.5484190871369294
StackExchange,zlib,0,410m,0.5030135
StackExchange,zlib,100,410m,0.503462
StackExchange,zlib,200,410m,0.511466
StackExchange,zlib,300,410m,0.5016695
StackExchange,zlib,400,410m,0.529295
StackExchange,zlib,500,410m,0.514188
StackExchange,zlib,600,410m,0.5017896825396825
StackExchange,zlib,700,410m,0.5161871287128713
StackExchange,zlib,800,410m,0.5292527272727272
StackExchange,zlib,900,410m,0.51301244813278
StackExchange,zlib,0,1b,0.5005545
StackExchange,zlib,100,1b,0.5039775
StackExchange,zlib,200,1b,0.5087365
StackExchange,zlib,300,1b,0.5001064999999999
StackExchange,zlib,400,1b,0.529426
StackExchange,zlib,500,1b,0.5121765
StackExchange,zlib,600,1b,0.5054351851851852
StackExchange,zlib,700,1b,0.5120643564356435
StackExchange,zlib,800,1b,0.5278781818181818
StackExchange,zlib,900,1b,0.5202323651452283
StackExchange,zlib,0,2.8b,0.505694
StackExchange,zlib,100,2.8b,0.5020929999999999
StackExchange,zlib,200,2.8b,0.5016355
StackExchange,zlib,300,2.8b,0.504567
StackExchange,zlib,400,2.8b,0.5185055
StackExchange,zlib,500,2.8b,0.5042595
StackExchange,zlib,600,2.8b,0.5144021164021163
StackExchange,zlib,700,2.8b,0.504069306930693
StackExchange,zlib,800,2.8b,0.5362890909090909
StackExchange,zlib,900,2.8b,0.5285539419087137
StackExchange,zlib,0,6.9b,0.5051205000000001
StackExchange,zlib,100,6.9b,0.5033375
StackExchange,zlib,200,6.9b,0.5038535000000001
StackExchange,zlib,300,6.9b,0.507328
StackExchange,zlib,400,6.9b,0.5155195000000001
StackExchange,zlib,500,6.9b,0.5019675
StackExchange,zlib,600,6.9b,0.517047619047619
StackExchange,zlib,700,6.9b,0.5003653465346535
StackExchange,zlib,800,6.9b,0.538710909090909
