dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.5095670000000001
Wikipedia (en),Loss,100,160m,0.5086925
Wikipedia (en),Loss,200,160m,0.5025755
Wikipedia (en),Loss,300,160m,0.5100195000000001
Wikipedia (en),Loss,400,160m,0.5002447368421052
Wikipedia (en),Loss,500,160m,0.501166884816754
Wikipedia (en),Loss,600,160m,0.5172871024734982
Wikipedia (en),Loss,700,160m,0.5173209109730849
Wikipedia (en),Loss,800,160m,0.5197591036414566
Wikipedia (en),Loss,900,160m,0.5181513605442177
Wikipedia (en),Loss,0,410m,0.5158674999999999
Wikipedia (en),Loss,100,410m,0.5060304999999999
Wikipedia (en),Loss,200,410m,0.5012455
Wikipedia (en),Loss,300,410m,0.50639
Wikipedia (en),Loss,400,410m,0.5009905263157894
Wikipedia (en),Loss,500,410m,0.5008056282722513
Wikipedia (en),Loss,600,410m,0.519726148409894
Wikipedia (en),Loss,700,410m,0.5137163561076605
Wikipedia (en),Loss,800,410m,0.5235042016806724
Wikipedia (en),Loss,900,410m,0.5207499999999999
Wikipedia (en),Loss,0,1b,0.5195535
Wikipedia (en),Loss,100,1b,0.5050265
Wikipedia (en),Loss,200,1b,0.509397
Wikipedia (en),Loss,300,1b,0.505811
Wikipedia (en),Loss,400,1b,0.5029994736842105
Wikipedia (en),Loss,500,1b,0.5027984293193717
Wikipedia (en),Loss,600,1b,0.5214363957597172
Wikipedia (en),Loss,700,1b,0.5159968944099379
Wikipedia (en),Loss,800,1b,0.5265392156862745
Wikipedia (en),Loss,900,1b,0.5218554421768707
Wikipedia (en),Loss,0,2.8b,0.529417
Wikipedia (en),Loss,100,2.8b,0.506798
Wikipedia (en),Loss,200,2.8b,0.5220695
Wikipedia (en),Loss,300,2.8b,0.5145235
Wikipedia (en),Loss,400,2.8b,0.5212773684210527
Wikipedia (en),Loss,500,2.8b,0.5134568062827225
Wikipedia (en),Loss,600,2.8b,0.5338595406360424
Wikipedia (en),Loss,700,2.8b,0.526192546583851
Wikipedia (en),Loss,800,2.8b,0.5400672268907564
Wikipedia (en),Loss,900,2.8b,0.512547619047619
Wikipedia (en),Loss,0,6.9b,0.5314380000000001
Wikipedia (en),Loss,100,6.9b,0.5059235
Wikipedia (en),Loss,200,6.9b,0.5212315
Wikipedia (en),Loss,300,6.9b,0.511371
Wikipedia (en),Loss,400,6.9b,0.5175663157894737
Wikipedia (en),Loss,500,6.9b,0.515949607329843
Wikipedia (en),Loss,600,6.9b,0.5336484098939929
Wikipedia (en),Loss,700,6.9b,0.5234409937888198
Wikipedia (en),Loss,800,6.9b,0.5368375350140057
Wikipedia (en),Loss,900,6.9b,0.514828231292517
Wikipedia (en),Loss,0,12b,0.5334384999999999
Wikipedia (en),Loss,100,12b,0.508267
Wikipedia (en),Loss,200,12b,0.5247795
Wikipedia (en),Loss,300,12b,0.5133114999999999
Wikipedia (en),Loss,400,12b,0.5223547368421052
Wikipedia (en),Loss,500,12b,0.5191537958115183
Wikipedia (en),Loss,600,12b,0.536315371024735
Wikipedia (en),Loss,700,12b,0.5273933747412008
Wikipedia (en),Loss,800,12b,0.5417787114845939
Wikipedia (en),Loss,900,12b,0.5097057823129252
Wikipedia (en),Min-K%,0,160m,0.507931
Wikipedia (en),Min-K%,100,160m,0.504997
Wikipedia (en),Min-K%,200,160m,0.5039404999999999
Wikipedia (en),Min-K%,300,160m,0.5115445
Wikipedia (en),Min-K%,400,160m,0.5017442105263158
Wikipedia (en),Min-K%,500,160m,0.501375
Wikipedia (en),Min-K%,600,160m,0.5184770318021201
Wikipedia (en),Min-K%,700,160m,0.5079378881987577
Wikipedia (en),Min-K%,800,160m,0.5267058823529411
Wikipedia (en),Min-K%,900,160m,0.5054183673469388
Wikipedia (en),Min-K%,0,410m,0.5138560000000001
Wikipedia (en),Min-K%,100,410m,0.50015
Wikipedia (en),Min-K%,200,410m,0.5012300000000001
Wikipedia (en),Min-K%,300,410m,0.5057085
Wikipedia (en),Min-K%,400,410m,0.5044136842105262
Wikipedia (en),Min-K%,500,410m,0.5042604712041885
Wikipedia (en),Min-K%,600,410m,0.5227968197879859
Wikipedia (en),Min-K%,700,410m,0.5078819875776397
Wikipedia (en),Min-K%,800,410m,0.5254229691876751
Wikipedia (en),Min-K%,900,410m,0.5057517006802721
Wikipedia (en),Min-K%,0,1b,0.518767
Wikipedia (en),Min-K%,100,1b,0.50088
Wikipedia (en),Min-K%,200,1b,0.512883
Wikipedia (en),Min-K%,300,1b,0.5069365
Wikipedia (en),Min-K%,400,1b,0.5030768421052632
Wikipedia (en),Min-K%,500,1b,0.5064201570680629
Wikipedia (en),Min-K%,600,1b,0.5260547703180212
Wikipedia (en),Min-K%,700,1b,0.5156687370600415
Wikipedia (en),Min-K%,800,1b,0.5277535014005603
Wikipedia (en),Min-K%,900,1b,0.5071462585034014
Wikipedia (en),Min-K%,0,2.8b,0.530996
Wikipedia (en),Min-K%,100,2.8b,0.5184225
Wikipedia (en),Min-K%,200,2.8b,0.5305449999999999
Wikipedia (en),Min-K%,300,2.8b,0.5170089999999999
Wikipedia (en),Min-K%,400,2.8b,0.5251831578947368
Wikipedia (en),Min-K%,500,2.8b,0.5206400523560211
Wikipedia (en),Min-K%,600,2.8b,0.5411130742049469
Wikipedia (en),Min-K%,700,2.8b,0.5325341614906832
Wikipedia (en),Min-K%,800,2.8b,0.546578431372549
Wikipedia (en),Min-K%,900,2.8b,0.5051496598639456
Wikipedia (en),Min-K%,0,6.9b,0.533392
Wikipedia (en),Min-K%,100,6.9b,0.5158429999999999
Wikipedia (en),Min-K%,200,6.9b,0.527705
Wikipedia (en),Min-K%,300,6.9b,0.513885
Wikipedia (en),Min-K%,400,6.9b,0.5193910526315789
Wikipedia (en),Min-K%,500,6.9b,0.5239548429319372
Wikipedia (en),Min-K%,600,6.9b,0.541160777385159
Wikipedia (en),Min-K%,700,6.9b,0.5291407867494824
Wikipedia (en),Min-K%,800,6.9b,0.5406582633053221
Wikipedia (en),Min-K%,900,6.9b,0.5000646258503402
Wikipedia (en),Min-K%,0,12b,0.5359050000000001
Wikipedia (en),Min-K%,100,12b,0.519917
Wikipedia (en),Min-K%,200,12b,0.5327245
Wikipedia (en),Min-K%,300,12b,0.518012
Wikipedia (en),Min-K%,400,12b,0.5250252631578947
Wikipedia (en),Min-K%,500,12b,0.5275314136125654
Wikipedia (en),Min-K%,600,12b,0.544982332155477
Wikipedia (en),Min-K%,700,12b,0.535592132505176
Wikipedia (en),Min-K%,800,12b,0.5523557422969188
Wikipedia (en),Min-K%,900,12b,0.5086428571428572
Wikipedia (en),Perplexity,0,160m,0.5095670000000001
Wikipedia (en),Perplexity,100,160m,0.5086925
Wikipedia (en),Perplexity,200,160m,0.5025755
Wikipedia (en),Perplexity,300,160m,0.5100195000000001
Wikipedia (en),Perplexity,400,160m,0.5002447368421052
Wikipedia (en),Perplexity,500,160m,0.501166884816754
Wikipedia (en),Perplexity,600,160m,0.5172871024734982
Wikipedia (en),Perplexity,700,160m,0.5173209109730849
Wikipedia (en),Perplexity,800,160m,0.5197591036414566
Wikipedia (en),Perplexity,900,160m,0.5181513605442177
Wikipedia (en),Perplexity,0,410m,0.5158674999999999
Wikipedia (en),Perplexity,100,410m,0.5060304999999999
Wikipedia (en),Perplexity,200,410m,0.5012455
Wikipedia (en),Perplexity,300,410m,0.50639
Wikipedia (en),Perplexity,400,410m,0.5009905263157894
Wikipedia (en),Perplexity,500,410m,0.5008056282722513
Wikipedia (en),Perplexity,600,410m,0.519726148409894
Wikipedia (en),Perplexity,700,410m,0.5137163561076605
Wikipedia (en),Perplexity,800,410m,0.5235042016806724
Wikipedia (en),Perplexity,900,410m,0.5207499999999999
Wikipedia (en),Perplexity,0,1b,0.5195535
Wikipedia (en),Perplexity,100,1b,0.5050265
Wikipedia (en),Perplexity,200,1b,0.509397
Wikipedia (en),Perplexity,300,1b,0.505811
Wikipedia (en),Perplexity,400,1b,0.5029994736842105
Wikipedia (en),Perplexity,500,1b,0.5027984293193717
Wikipedia (en),Perplexity,600,1b,0.5214363957597172
Wikipedia (en),Perplexity,700,1b,0.5159968944099379
Wikipedia (en),Perplexity,800,1b,0.5265392156862745
Wikipedia (en),Perplexity,900,1b,0.5218554421768707
Wikipedia (en),Perplexity,0,2.8b,0.529417
Wikipedia (en),Perplexity,100,2.8b,0.506798
Wikipedia (en),Perplexity,200,2.8b,0.5220695
Wikipedia (en),Perplexity,300,2.8b,0.5145235
Wikipedia (en),Perplexity,400,2.8b,0.5212773684210527
Wikipedia (en),Perplexity,500,2.8b,0.5134568062827225
Wikipedia (en),Perplexity,600,2.8b,0.5338595406360424
Wikipedia (en),Perplexity,700,2.8b,0.526192546583851
Wikipedia (en),Perplexity,800,2.8b,0.5400672268907564
Wikipedia (en),Perplexity,900,2.8b,0.512547619047619
Wikipedia (en),Perplexity,0,6.9b,0.5314380000000001
Wikipedia (en),Perplexity,100,6.9b,0.5059235
Wikipedia (en),Perplexity,200,6.9b,0.5212315
Wikipedia (en),Perplexity,300,6.9b,0.511371
Wikipedia (en),Perplexity,400,6.9b,0.5175663157894737
Wikipedia (en),Perplexity,500,6.9b,0.515949607329843
Wikipedia (en),Perplexity,600,6.9b,0.5336484098939929
Wikipedia (en),Perplexity,700,6.9b,0.5234409937888198
Wikipedia (en),Perplexity,800,6.9b,0.5368375350140057
Wikipedia (en),Perplexity,900,6.9b,0.514828231292517
Wikipedia (en),Perplexity,0,12b,0.5334384999999999
Wikipedia (en),Perplexity,100,12b,0.508267
Wikipedia (en),Perplexity,200,12b,0.5247795
Wikipedia (en),Perplexity,300,12b,0.5133114999999999
Wikipedia (en),Perplexity,400,12b,0.5223547368421052
Wikipedia (en),Perplexity,500,12b,0.5191537958115183
Wikipedia (en),Perplexity,600,12b,0.536315371024735
Wikipedia (en),Perplexity,700,12b,0.5273933747412008
Wikipedia (en),Perplexity,800,12b,0.5417787114845939
Wikipedia (en),Perplexity,900,12b,0.5097057823129252
Wikipedia (en),Min-K% ++,0,160m,0.501976
Wikipedia (en),Min-K% ++,100,160m,0.507896
Wikipedia (en),Min-K% ++,200,160m,0.50204
Wikipedia (en),Min-K% ++,300,160m,0.513929
Wikipedia (en),Min-K% ++,400,160m,0.5059747368421053
Wikipedia (en),Min-K% ++,500,160m,0.5015719895287958
Wikipedia (en),Min-K% ++,600,160m,0.5072314487632509
Wikipedia (en),Min-K% ++,700,160m,0.5061904761904762
Wikipedia (en),Min-K% ++,800,160m,0.5126218487394958
Wikipedia (en),Min-K% ++,900,160m,0.5215884353741497
Wikipedia (en),Min-K% ++,0,410m,0.505293
Wikipedia (en),Min-K% ++,100,410m,0.50139
Wikipedia (en),Min-K% ++,200,410m,0.5000665
Wikipedia (en),Min-K% ++,300,410m,0.524404
Wikipedia (en),Min-K% ++,400,410m,0.5070884210526316
Wikipedia (en),Min-K% ++,500,410m,0.5094685863874345
Wikipedia (en),Min-K% ++,600,410m,0.5309752650176678
Wikipedia (en),Min-K% ++,700,410m,0.509656314699793
Wikipedia (en),Min-K% ++,800,410m,0.5180140056022409
Wikipedia (en),Min-K% ++,900,410m,0.5049013605442176
Wikipedia (en),Min-K% ++,0,1b,0.5095925
Wikipedia (en),Min-K% ++,100,1b,0.501269
Wikipedia (en),Min-K% ++,200,1b,0.529036
Wikipedia (en),Min-K% ++,300,1b,0.5252685
Wikipedia (en),Min-K% ++,400,1b,0.5077452631578947
Wikipedia (en),Min-K% ++,500,1b,0.5132486910994765
Wikipedia (en),Min-K% ++,600,1b,0.5207791519434628
Wikipedia (en),Min-K% ++,700,1b,0.5036107660455487
Wikipedia (en),Min-K% ++,800,1b,0.5131736694677871
Wikipedia (en),Min-K% ++,900,1b,0.5189642857142858
Wikipedia (en),Min-K% ++,0,2.8b,0.5355289999999999
Wikipedia (en),Min-K% ++,100,2.8b,0.520261
Wikipedia (en),Min-K% ++,200,2.8b,0.5534519999999999
Wikipedia (en),Min-K% ++,300,2.8b,0.5546694999999999
Wikipedia (en),Min-K% ++,400,2.8b,0.5459273684210526
Wikipedia (en),Min-K% ++,500,2.8b,0.5366727748691099
Wikipedia (en),Min-K% ++,600,2.8b,0.559809187279152
Wikipedia (en),Min-K% ++,700,2.8b,0.5517587991718427
Wikipedia (en),Min-K% ++,800,2.8b,0.566563025210084
Wikipedia (en),Min-K% ++,900,2.8b,0.5384319727891156
Wikipedia (en),Min-K% ++,0,6.9b,0.533479
Wikipedia (en),Min-K% ++,100,6.9b,0.522193
Wikipedia (en),Min-K% ++,200,6.9b,0.547143
Wikipedia (en),Min-K% ++,300,6.9b,0.543239
Wikipedia (en),Min-K% ++,400,6.9b,0.5329178947368421
Wikipedia (en),Min-K% ++,500,6.9b,0.5349450261780104
Wikipedia (en),Min-K% ++,600,6.9b,0.5529664310954064
Wikipedia (en),Min-K% ++,700,6.9b,0.543304347826087
Wikipedia (en),Min-K% ++,800,6.9b,0.5469747899159663
Wikipedia (en),Min-K% ++,900,6.9b,0.5281632653061225
Wikipedia (en),Min-K% ++,0,12b,0.538651
Wikipedia (en),Min-K% ++,100,12b,0.5284690000000001
Wikipedia (en),Min-K% ++,200,12b,0.549877
Wikipedia (en),Min-K% ++,300,12b,0.5555399999999999
Wikipedia (en),Min-K% ++,400,12b,0.5422063157894736
Wikipedia (en),Min-K% ++,500,12b,0.5479162303664922
Wikipedia (en),Min-K% ++,600,12b,0.562590106007067
Wikipedia (en),Min-K% ++,700,12b,0.5597950310559007
Wikipedia (en),Min-K% ++,800,12b,0.5765798319327731
Wikipedia (en),Min-K% ++,900,12b,0.5442482993197277
Wikipedia (en),Zlib,0,160m,0.5072745000000001
Wikipedia (en),Zlib,100,160m,0.51361
Wikipedia (en),Zlib,200,160m,0.5029170000000001
Wikipedia (en),Zlib,300,160m,0.5057335
Wikipedia (en),Zlib,400,160m,0.5124384210526316
Wikipedia (en),Zlib,500,160m,0.5017061518324607
Wikipedia (en),Zlib,600,160m,0.5221475265017668
Wikipedia (en),Zlib,700,160m,0.5358322981366459
Wikipedia (en),Zlib,800,160m,0.5295952380952381
Wikipedia (en),Zlib,900,160m,0.5438231292517006
Wikipedia (en),Zlib,0,410m,0.5126094999999999
Wikipedia (en),Zlib,100,410m,0.5135799999999999
Wikipedia (en),Zlib,200,410m,0.507402
Wikipedia (en),Zlib,300,410m,0.508288
Wikipedia (en),Zlib,400,410m,0.5075868421052632
Wikipedia (en),Zlib,500,410m,0.5012807591623036
Wikipedia (en),Zlib,600,410m,0.5296678445229682
Wikipedia (en),Zlib,700,410m,0.5328674948240166
Wikipedia (en),Zlib,800,410m,0.530467787114846
Wikipedia (en),Zlib,900,410m,0.5268078231292517
Wikipedia (en),Zlib,0,1b,0.5175460000000001
Wikipedia (en),Zlib,100,1b,0.5135215
Wikipedia (en),Zlib,200,1b,0.5156244999999999
Wikipedia (en),Zlib,300,1b,0.5091359999999999
Wikipedia (en),Zlib,400,1b,0.5097936842105264
Wikipedia (en),Zlib,500,1b,0.502211387434555
Wikipedia (en),Zlib,600,1b,0.5332535335689046
Wikipedia (en),Zlib,700,1b,0.5332132505175984
Wikipedia (en),Zlib,800,1b,0.5329803921568628
Wikipedia (en),Zlib,900,1b,0.5190714285714286
Wikipedia (en),Zlib,0,2.8b,0.526968
Wikipedia (en),Zlib,100,2.8b,0.523045
Wikipedia (en),Zlib,200,2.8b,0.5307930000000001
Wikipedia (en),Zlib,300,2.8b,0.5027505000000001
Wikipedia (en),Zlib,400,2.8b,0.5285178947368422
Wikipedia (en),Zlib,500,2.8b,0.5147539267015706
Wikipedia (en),Zlib,600,2.8b,0.5480856890459364
Wikipedia (en),Zlib,700,2.8b,0.5434275362318841
Wikipedia (en),Zlib,800,2.8b,0.545249299719888
Wikipedia (en),Zlib,900,2.8b,0.5222244897959184
Wikipedia (en),Zlib,0,6.9b,0.5276055000000001
Wikipedia (en),Zlib,100,6.9b,0.5218514999999999
Wikipedia (en),Zlib,200,6.9b,0.528653
Wikipedia (en),Zlib,300,6.9b,0.500702
Wikipedia (en),Zlib,400,6.9b,0.52504
Wikipedia (en),Zlib,500,6.9b,0.5169476439790576
Wikipedia (en),Zlib,600,6.9b,0.5483047703180212
Wikipedia (en),Zlib,700,6.9b,0.5400113871635611
Wikipedia (en),Zlib,800,6.9b,0.5417983193277311
Wikipedia (en),Zlib,900,6.9b,0.5192704081632653
Wikipedia (en),Zlib,0,12b,0.5292335
Wikipedia (en),Zlib,100,12b,0.524153
Wikipedia (en),Zlib,200,12b,0.53406
Wikipedia (en),Zlib,300,12b,0.5017900000000001
Wikipedia (en),Zlib,400,12b,0.5296268421052631
Wikipedia (en),Zlib,500,12b,0.520818717277487
Wikipedia (en),Zlib,600,12b,0.5526598939929328
Wikipedia (en),Zlib,700,12b,0.5434824016563147
Wikipedia (en),Zlib,800,12b,0.5457689075630252
Wikipedia (en),Zlib,900,12b,0.5236819727891157
Wikipedia (en),Gradient,0,160m,0.5285299999999999
Wikipedia (en),Gradient,100,160m,0.5011255000000001
Wikipedia (en),Gradient,200,160m,0.501355
Wikipedia (en),Gradient,300,160m,0.5063405
Wikipedia (en),Gradient,400,160m,0.5147842105263157
Wikipedia (en),Gradient,500,160m,0.5118475130890052
Wikipedia (en),Gradient,600,160m,0.5085574204946997
Wikipedia (en),Gradient,700,160m,0.5061511387163562
Wikipedia (en),Gradient,800,160m,0.5122563025210084
Wikipedia (en),Gradient,900,160m,0.5361479591836735
Wikipedia (en),Gradient,0,410m,0.516653
Wikipedia (en),Gradient,100,410m,0.522233
Wikipedia (en),Gradient,200,410m,0.509734
Wikipedia (en),Gradient,300,410m,0.5270645
Wikipedia (en),Gradient,400,410m,0.5048494736842106
Wikipedia (en),Gradient,500,410m,0.5054777486910995
Wikipedia (en),Gradient,600,410m,0.5029213780918728
Wikipedia (en),Gradient,700,410m,0.5059337474120083
Wikipedia (en),Gradient,800,410m,0.5274789915966387
Wikipedia (en),Gradient,900,410m,0.5382278911564626
Wikipedia (en),Gradient,0,1b,0.5026995
Wikipedia (en),Gradient,100,1b,0.5157349999999999
Wikipedia (en),Gradient,200,1b,0.505787
Wikipedia (en),Gradient,300,1b,0.522076
Wikipedia (en),Gradient,400,1b,0.5101994736842105
