dataset,feature,length,model_size,auc
Wikipedia (en),loss,0,410m,0.5080225
Wikipedia (en),loss,10,410m,0.5012380000000001
Wikipedia (en),loss,20,410m,0.514083
Wikipedia (en),loss,30,410m,0.508684
Wikipedia (en),loss,40,410m,0.5133865
Wikipedia (en),loss,50,410m,0.5156275
Wikipedia (en),loss,60,410m,0.5255380000000001
Wikipedia (en),loss,70,410m,0.5016339999999999
Wikipedia (en),loss,80,410m,0.5113315
Wikipedia (en),loss,90,410m,0.5041420000000001
Wikipedia (en),loss,0,1b,0.5101865
Wikipedia (en),loss,10,1b,0.5002445
Wikipedia (en),loss,20,1b,0.513088
Wikipedia (en),loss,30,1b,0.5034
Wikipedia (en),loss,40,1b,0.512398
Wikipedia (en),loss,50,1b,0.5141835
Wikipedia (en),loss,60,1b,0.524289
Wikipedia (en),loss,70,1b,0.501484
Wikipedia (en),loss,80,1b,0.509959
Wikipedia (en),loss,90,1b,0.509027
Wikipedia (en),loss,0,2.8b,0.5216645
Wikipedia (en),loss,10,2.8b,0.5111874999999999
Wikipedia (en),loss,20,2.8b,0.515091
Wikipedia (en),loss,30,2.8b,0.513018
Wikipedia (en),loss,40,2.8b,0.5232865
Wikipedia (en),loss,50,2.8b,0.5018210000000001
Wikipedia (en),loss,60,2.8b,0.5156854999999999
Wikipedia (en),loss,70,2.8b,0.5101995
Wikipedia (en),loss,80,2.8b,0.500911
Wikipedia (en),loss,90,2.8b,0.5269185
Wikipedia (en),loss,0,6.9b,0.5183815
Wikipedia (en),loss,10,6.9b,0.5092485
Wikipedia (en),loss,20,6.9b,0.516111
Wikipedia (en),loss,30,6.9b,0.5108235
Wikipedia (en),loss,40,6.9b,0.5227550000000001
Wikipedia (en),loss,50,6.9b,0.5038870000000001
Wikipedia (en),loss,60,6.9b,0.515544
Wikipedia (en),loss,70,6.9b,0.5088834999999999
Wikipedia (en),loss,80,6.9b,0.5017235
Wikipedia (en),loss,90,6.9b,0.5238505
Wikipedia (en),prob,0,410m,0.507971
Wikipedia (en),prob,10,410m,0.501313
Wikipedia (en),prob,20,410m,0.5138419999999999
Wikipedia (en),prob,30,410m,0.5086189999999999
Wikipedia (en),prob,40,410m,0.513337
Wikipedia (en),prob,50,410m,0.5154160000000001
Wikipedia (en),prob,60,410m,0.525231
Wikipedia (en),prob,70,410m,0.501881
Wikipedia (en),prob,80,410m,0.511276
Wikipedia (en),prob,90,410m,0.5041534999999999
Wikipedia (en),prob,0,1b,0.510319
Wikipedia (en),prob,10,1b,0.5001749999999999
Wikipedia (en),prob,20,1b,0.513104
Wikipedia (en),prob,30,1b,0.503501
Wikipedia (en),prob,40,1b,0.512538
Wikipedia (en),prob,50,1b,0.514374
Wikipedia (en),prob,60,1b,0.52435
Wikipedia (en),prob,70,1b,0.501212
Wikipedia (en),prob,80,1b,0.509869
Wikipedia (en),prob,90,1b,0.508814
Wikipedia (en),prob,0,2.8b,0.521564
Wikipedia (en),prob,10,2.8b,0.51121
Wikipedia (en),prob,20,2.8b,0.515111
Wikipedia (en),prob,30,2.8b,0.5130170000000001
Wikipedia (en),prob,40,2.8b,0.5233990000000001
Wikipedia (en),prob,50,2.8b,0.5018929999999999
Wikipedia (en),prob,60,2.8b,0.5157425
Wikipedia (en),prob,70,2.8b,0.5101
Wikipedia (en),prob,80,2.8b,0.500901
Wikipedia (en),prob,90,2.8b,0.5267835000000001
Wikipedia (en),prob,0,6.9b,0.518277
Wikipedia (en),prob,10,6.9b,0.509262
Wikipedia (en),prob,20,6.9b,0.516176
Wikipedia (en),prob,30,6.9b,0.5108805000000001
Wikipedia (en),prob,40,6.9b,0.522748
Wikipedia (en),prob,50,6.9b,0.503741
Wikipedia (en),prob,60,6.9b,0.51543
Wikipedia (en),prob,70,6.9b,0.5086425
Wikipedia (en),prob,80,6.9b,0.501693
Wikipedia (en),prob,90,6.9b,0.523853
Wikipedia (en),ppl,0,410m,0.5080225
Wikipedia (en),ppl,10,410m,0.5012380000000001
Wikipedia (en),ppl,20,410m,0.514083
Wikipedia (en),ppl,30,410m,0.508684
Wikipedia (en),ppl,40,410m,0.5133865
Wikipedia (en),ppl,50,410m,0.5156275
Wikipedia (en),ppl,60,410m,0.5255380000000001
Wikipedia (en),ppl,70,410m,0.5016339999999999
Wikipedia (en),ppl,80,410m,0.5113315
Wikipedia (en),ppl,90,410m,0.5041420000000001
Wikipedia (en),ppl,0,1b,0.5101865
Wikipedia (en),ppl,10,1b,0.5002445
Wikipedia (en),ppl,20,1b,0.513088
Wikipedia (en),ppl,30,1b,0.5034
Wikipedia (en),ppl,40,1b,0.512398
Wikipedia (en),ppl,50,1b,0.5141835
Wikipedia (en),ppl,60,1b,0.524289
Wikipedia (en),ppl,70,1b,0.501484
Wikipedia (en),ppl,80,1b,0.509959
Wikipedia (en),ppl,90,1b,0.509027
Wikipedia (en),ppl,0,2.8b,0.5216645
Wikipedia (en),ppl,10,2.8b,0.5111874999999999
Wikipedia (en),ppl,20,2.8b,0.515091
Wikipedia (en),ppl,30,2.8b,0.513018
Wikipedia (en),ppl,40,2.8b,0.5232865
Wikipedia (en),ppl,50,2.8b,0.5018210000000001
Wikipedia (en),ppl,60,2.8b,0.5156854999999999
Wikipedia (en),ppl,70,2.8b,0.5101995
Wikipedia (en),ppl,80,2.8b,0.500911
Wikipedia (en),ppl,90,2.8b,0.5269185
Wikipedia (en),ppl,0,6.9b,0.5183815
Wikipedia (en),ppl,10,6.9b,0.5092485
Wikipedia (en),ppl,20,6.9b,0.516111
Wikipedia (en),ppl,30,6.9b,0.5108235
Wikipedia (en),ppl,40,6.9b,0.5227550000000001
Wikipedia (en),ppl,50,6.9b,0.5038870000000001
Wikipedia (en),ppl,60,6.9b,0.515544
Wikipedia (en),ppl,70,6.9b,0.5088834999999999
Wikipedia (en),ppl,80,6.9b,0.5017235
Wikipedia (en),ppl,90,6.9b,0.5238505
Wikipedia (en),mink_plus,0,410m,0.502238
Wikipedia (en),mink_plus,10,410m,0.5049790000000001
Wikipedia (en),mink_plus,20,410m,0.5024310000000001
Wikipedia (en),mink_plus,30,410m,0.506114
Wikipedia (en),mink_plus,40,410m,0.513955
Wikipedia (en),mink_plus,50,410m,0.52244
Wikipedia (en),mink_plus,60,410m,0.51342
Wikipedia (en),mink_plus,70,410m,0.5175479999999999
Wikipedia (en),mink_plus,80,410m,0.50929
Wikipedia (en),mink_plus,90,410m,0.5014270000000001
Wikipedia (en),mink_plus,0,1b,0.501064
Wikipedia (en),mink_plus,10,1b,0.5065040000000001
Wikipedia (en),mink_plus,20,1b,0.501302
Wikipedia (en),mink_plus,30,1b,0.506284
Wikipedia (en),mink_plus,40,1b,0.5165649999999999
Wikipedia (en),mink_plus,50,1b,0.502625
Wikipedia (en),mink_plus,60,1b,0.513638
Wikipedia (en),mink_plus,70,1b,0.508605
Wikipedia (en),mink_plus,80,1b,0.513674
Wikipedia (en),mink_plus,90,1b,0.508685
Wikipedia (en),mink_plus,0,2.8b,0.533113
Wikipedia (en),mink_plus,10,2.8b,0.52145
Wikipedia (en),mink_plus,20,2.8b,0.517013
Wikipedia (en),mink_plus,30,2.8b,0.524378
Wikipedia (en),mink_plus,40,2.8b,0.5448770000000001
Wikipedia (en),mink_plus,50,2.8b,0.5256515
Wikipedia (en),mink_plus,60,2.8b,0.531047
Wikipedia (en),mink_plus,70,2.8b,0.545463
Wikipedia (en),mink_plus,80,2.8b,0.543477
Wikipedia (en),mink_plus,90,2.8b,0.547682
Wikipedia (en),mink_plus,0,6.9b,0.524289
Wikipedia (en),mink_plus,10,6.9b,0.518127
Wikipedia (en),mink_plus,20,6.9b,0.518815
Wikipedia (en),mink_plus,30,6.9b,0.525306
Wikipedia (en),mink_plus,40,6.9b,0.54104
Wikipedia (en),mink_plus,50,6.9b,0.5263869999999999
Wikipedia (en),mink_plus,60,6.9b,0.529778
Wikipedia (en),mink_plus,70,6.9b,0.5418959999999999
Wikipedia (en),mink_plus,80,6.9b,0.548292
Wikipedia (en),mink_plus,90,6.9b,0.5357799999999999
Wikipedia (en),zlib,0,410m,0.500647
Wikipedia (en),zlib,10,410m,0.509511
Wikipedia (en),zlib,20,410m,0.516529
Wikipedia (en),zlib,30,410m,0.5052055
Wikipedia (en),zlib,40,410m,0.512308
Wikipedia (en),zlib,50,410m,0.5065109999999999
Wikipedia (en),zlib,60,410m,0.5295205000000001
Wikipedia (en),zlib,70,410m,0.504729
Wikipedia (en),zlib,80,410m,0.507819
Wikipedia (en),zlib,90,410m,0.5126109999999999
Wikipedia (en),zlib,0,1b,0.5027365
Wikipedia (en),zlib,10,1b,0.5069445
Wikipedia (en),zlib,20,1b,0.5147205
Wikipedia (en),zlib,30,1b,0.5006375
Wikipedia (en),zlib,40,1b,0.512268
Wikipedia (en),zlib,50,1b,0.50681
Wikipedia (en),zlib,60,1b,0.5288995000000001
Wikipedia (en),zlib,70,1b,0.5005925
Wikipedia (en),zlib,80,1b,0.5082939999999999
Wikipedia (en),zlib,90,1b,0.505926
Wikipedia (en),zlib,0,2.8b,0.5140950000000001
Wikipedia (en),zlib,10,2.8b,0.5168429999999999
Wikipedia (en),zlib,20,2.8b,0.516364
Wikipedia (en),zlib,30,2.8b,0.509957
Wikipedia (en),zlib,40,2.8b,0.523872
Wikipedia (en),zlib,50,2.8b,0.5027510000000001
Wikipedia (en),zlib,60,2.8b,0.5207665
Wikipedia (en),zlib,70,2.8b,0.5118965
Wikipedia (en),zlib,80,2.8b,0.50395
Wikipedia (en),zlib,90,2.8b,0.514192
Wikipedia (en),zlib,0,6.9b,0.511725
Wikipedia (en),zlib,10,6.9b,0.5147815
Wikipedia (en),zlib,20,6.9b,0.5178775
Wikipedia (en),zlib,30,6.9b,0.5077765000000001
Wikipedia (en),zlib,40,6.9b,0.5231174999999999
Wikipedia (en),zlib,50,6.9b,0.5004985000000001
Wikipedia (en),zlib,60,6.9b,0.520196
Wikipedia (en),zlib,70,6.9b,0.509937
Wikipedia (en),zlib,80,6.9b,0.5000245000000001
Wikipedia (en),zlib,90,6.9b,0.511374
Wikipedia (en),grad,0,410m,0.509528
Wikipedia (en),grad,10,410m,0.504181
Wikipedia (en),grad,20,410m,0.5040865000000001
Wikipedia (en),grad,30,410m,0.518956
Wikipedia (en),grad,40,410m,0.502382
Wikipedia (en),grad,50,410m,0.505195
Wikipedia (en),grad,60,410m,0.522083
Wikipedia (en),grad,70,410m,0.5199225000000001
Wikipedia (en),grad,80,410m,0.517611
Wikipedia (en),grad,90,410m,0.500578
Wikipedia (en),grad,0,1b,0.503548
Wikipedia (en),grad,10,1b,0.5019735
Wikipedia (en),grad,20,1b,0.5133405
Wikipedia (en),grad,30,1b,0.5007405
Wikipedia (en),grad,40,1b,0.5073160000000001
Wikipedia (en),grad,50,1b,0.50707
Wikipedia (en),grad,60,1b,0.527234
Wikipedia (en),grad,70,1b,0.5155354999999999
Wikipedia (en),grad,80,1b,0.5167379999999999
Wikipedia (en),grad,90,1b,0.507888
Wikipedia (en),grad,0,2.8b,0.5106775
Wikipedia (en),grad,10,2.8b,0.5103995
Wikipedia (en),grad,20,2.8b,0.5035594999999999
Wikipedia (en),grad,30,2.8b,0.52389
Wikipedia (en),grad,40,2.8b,0.5149715
Wikipedia (en),grad,50,2.8b,0.5167585
Wikipedia (en),grad,60,2.8b,0.5257055
Wikipedia (en),grad,70,2.8b,0.5237615
Wikipedia (en),grad,80,2.8b,0.5145035
Wikipedia (en),grad,90,2.8b,0.5066655
Wikipedia (en),grad,0,6.9b,0.50298
Wikipedia (en),grad,10,6.9b,0.5145055000000001
Wikipedia (en),grad,20,6.9b,0.5087265
Wikipedia (en),grad,30,6.9b,0.5147729999999999
Wikipedia (en),grad,40,6.9b,0.5094224999999999
Wikipedia (en),grad,50,6.9b,0.5133449999999999
Wikipedia (en),grad,60,6.9b,0.5283295
Wikipedia (en),grad,70,6.9b,0.5161549999999999
Wikipedia (en),grad,80,6.9b,0.5252755
Wikipedia (en),grad,90,6.9b,0.5157635
Wikipedia (en),refer,0,410m,0.5080560000000001
Wikipedia (en),refer,10,410m,0.5010345
Wikipedia (en),refer,20,410m,0.516865
Wikipedia (en),refer,30,410m,0.5060720000000001
Wikipedia (en),refer,40,410m,0.5080364999999999
Wikipedia (en),refer,50,410m,0.5208109999999999
Wikipedia (en),refer,60,410m,0.527242
Wikipedia (en),refer,70,410m,0.506788
Wikipedia (en),refer,80,410m,0.5170570000000001
Wikipedia (en),refer,90,410m,0.511512
Wikipedia (en),refer,0,1b,0.5080560000000001
Wikipedia (en),refer,10,1b,0.5010345
Wikipedia (en),refer,20,1b,0.516853
Wikipedia (en),refer,30,1b,0.5060395000000001
Wikipedia (en),refer,40,1b,0.508283
Wikipedia (en),refer,50,1b,0.520875
Wikipedia (en),refer,60,1b,0.5265695
Wikipedia (en),refer,70,1b,0.506788
Wikipedia (en),refer,80,1b,0.5170570000000001
Wikipedia (en),refer,90,1b,0.511512
Wikipedia (en),refer,0,2.8b,0.5080560000000001
Wikipedia (en),refer,10,2.8b,0.5010345
Wikipedia (en),refer,20,2.8b,0.516853
Wikipedia (en),refer,30,2.8b,0.5060395000000001
Wikipedia (en),refer,40,2.8b,0.508283
Wikipedia (en),refer,50,2.8b,0.520875
Wikipedia (en),refer,60,2.8b,0.5265695
Wikipedia (en),refer,70,2.8b,0.506788
Wikipedia (en),refer,80,2.8b,0.5170570000000001
Wikipedia (en),refer,90,2.8b,0.511512
Wikipedia (en),refer,0,6.9b,0.5080560000000001
Wikipedia (en),refer,10,6.9b,0.5010345
Wikipedia (en),refer,20,6.9b,0.516853
Wikipedia (en),refer,30,6.9b,0.5060395000000001
Wikipedia (en),refer,40,6.9b,0.508283
Wikipedia (en),refer,50,6.9b,0.520875
Wikipedia (en),refer,60,6.9b,0.5265695
Wikipedia (en),refer,70,6.9b,0.506788
Wikipedia (en),refer,80,6.9b,0.5170570000000001
Wikipedia (en),refer,90,6.9b,0.511512
StackExchange,loss,0,410m,0.509307
StackExchange,loss,10,410m,0.5185649999999999
StackExchange,loss,20,410m,0.5014019999999999
StackExchange,loss,30,410m,0.5049085
StackExchange,loss,40,410m,0.5132745
StackExchange,loss,50,410m,0.5345355
StackExchange,loss,60,410m,0.506869
StackExchange,loss,70,410m,0.5088334999999999
StackExchange,loss,80,410m,0.5010144999999999
StackExchange,loss,90,410m,0.5040545
StackExchange,loss,0,1b,0.510186
StackExchange,loss,10,1b,0.518554
StackExchange,loss,20,1b,0.504594
StackExchange,loss,30,1b,0.5029600000000001
StackExchange,loss,40,1b,0.5122645
StackExchange,loss,50,1b,0.5340885
StackExchange,loss,60,1b,0.506695
StackExchange,loss,70,1b,0.5071939999999999
StackExchange,loss,80,1b,0.5014545
StackExchange,loss,90,1b,0.5031755
StackExchange,loss,0,2.8b,0.5067945
StackExchange,loss,10,2.8b,0.512761
StackExchange,loss,20,2.8b,0.5076090000000001
StackExchange,loss,30,2.8b,0.506845
StackExchange,loss,40,2.8b,0.509808
StackExchange,loss,50,2.8b,0.525777
StackExchange,loss,60,2.8b,0.5065324999999999
StackExchange,loss,70,2.8b,0.503916
StackExchange,loss,80,2.8b,0.50585
StackExchange,loss,90,2.8b,0.5058415
StackExchange,loss,0,6.9b,0.5028110000000001
StackExchange,loss,10,6.9b,0.5092915
StackExchange,loss,20,6.9b,0.508857
StackExchange,loss,30,6.9b,0.5129375
StackExchange,loss,40,6.9b,0.506553
StackExchange,loss,50,6.9b,0.524829
StackExchange,loss,60,6.9b,0.5099255
StackExchange,loss,70,6.9b,0.5009595
StackExchange,loss,80,6.9b,0.511022
StackExchange,loss,90,6.9b,0.50834
StackExchange,prob,0,410m,0.509571
StackExchange,prob,10,410m,0.5187170000000001
StackExchange,prob,20,410m,0.501199
StackExchange,prob,30,410m,0.5048495
StackExchange,prob,40,410m,0.513224
StackExchange,prob,50,410m,0.5343040000000001
StackExchange,prob,60,410m,0.506995
StackExchange,prob,70,410m,0.50879
StackExchange,prob,80,410m,0.501026
StackExchange,prob,90,410m,0.504035
StackExchange,prob,0,1b,0.510115
StackExchange,prob,10,1b,0.5184409999999999
StackExchange,prob,20,1b,0.504421
StackExchange,prob,30,1b,0.503092
StackExchange,prob,40,1b,0.512248
StackExchange,prob,50,1b,0.5339430000000001
StackExchange,prob,60,1b,0.506768
StackExchange,prob,70,1b,0.5073245
StackExchange,prob,80,1b,0.5017429999999999
StackExchange,prob,90,1b,0.5034235
StackExchange,prob,0,2.8b,0.5066005
StackExchange,prob,10,2.8b,0.512759
StackExchange,prob,20,2.8b,0.507475
StackExchange,prob,30,2.8b,0.5070675
StackExchange,prob,40,2.8b,0.509752
StackExchange,prob,50,2.8b,0.5258240000000001
StackExchange,prob,60,2.8b,0.506354
StackExchange,prob,70,2.8b,0.503838
StackExchange,prob,80,2.8b,0.5059130000000001
StackExchange,prob,90,2.8b,0.5057529999999999
StackExchange,prob,0,6.9b,0.502742
StackExchange,prob,10,6.9b,0.5094055
StackExchange,prob,20,6.9b,0.508853
StackExchange,prob,30,6.9b,0.512831
StackExchange,prob,40,6.9b,0.5065815
StackExchange,prob,50,6.9b,0.5248059999999999
StackExchange,prob,60,6.9b,0.5097470000000001
StackExchange,prob,70,6.9b,0.500974
StackExchange,prob,80,6.9b,0.510915
StackExchange,prob,90,6.9b,0.508243
StackExchange,ppl,0,410m,0.509307
StackExchange,ppl,10,410m,0.5185649999999999
StackExchange,ppl,20,410m,0.5014019999999999
StackExchange,ppl,30,410m,0.5049085
StackExchange,ppl,40,410m,0.5132745
StackExchange,ppl,50,410m,0.5345355
StackExchange,ppl,60,410m,0.506869
StackExchange,ppl,70,410m,0.5088334999999999
StackExchange,ppl,80,410m,0.5010144999999999
StackExchange,ppl,90,410m,0.5040545
StackExchange,ppl,0,1b,0.510186
