dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,160m,0.5003105
Wikipedia (en),Loss,10,160m,0.5083365
Wikipedia (en),Loss,20,160m,0.5107349999999999
Wikipedia (en),Loss,30,160m,0.5042105
Wikipedia (en),Loss,40,160m,0.518451
Wikipedia (en),Loss,50,160m,0.517473
Wikipedia (en),Loss,60,160m,0.5079035
Wikipedia (en),Loss,70,160m,0.538486
Wikipedia (en),Loss,80,160m,0.5157445
Wikipedia (en),Loss,90,160m,0.507002
Wikipedia (en),Loss,0,410m,0.5078355
Wikipedia (en),Loss,10,410m,0.508537
Wikipedia (en),Loss,20,410m,0.511428
Wikipedia (en),Loss,30,410m,0.5057015
Wikipedia (en),Loss,40,410m,0.5153245
Wikipedia (en),Loss,50,410m,0.517378
Wikipedia (en),Loss,60,410m,0.508751
Wikipedia (en),Loss,70,410m,0.5392600000000001
Wikipedia (en),Loss,80,410m,0.5107865
Wikipedia (en),Loss,90,410m,0.514869
Wikipedia (en),Loss,0,1b,0.5121829999999999
Wikipedia (en),Loss,10,1b,0.508526
Wikipedia (en),Loss,20,1b,0.5107245
Wikipedia (en),Loss,30,1b,0.5015799999999999
Wikipedia (en),Loss,40,1b,0.514038
Wikipedia (en),Loss,50,1b,0.5196689999999999
Wikipedia (en),Loss,60,1b,0.5059355
Wikipedia (en),Loss,70,1b,0.5419875000000001
Wikipedia (en),Loss,80,1b,0.5119125
Wikipedia (en),Loss,90,1b,0.520857
Wikipedia (en),Loss,0,2.8b,0.5225085
Wikipedia (en),Loss,10,2.8b,0.504629
Wikipedia (en),Loss,20,2.8b,0.516303
Wikipedia (en),Loss,30,2.8b,0.5088330000000001
Wikipedia (en),Loss,40,2.8b,0.500058
Wikipedia (en),Loss,50,2.8b,0.5309435
Wikipedia (en),Loss,60,2.8b,0.5142295
Wikipedia (en),Loss,70,2.8b,0.553664
Wikipedia (en),Loss,80,2.8b,0.520281
Wikipedia (en),Loss,90,2.8b,0.537077
Wikipedia (en),Loss,0,6.9b,0.5233925
Wikipedia (en),Loss,10,6.9b,0.505282
Wikipedia (en),Loss,20,6.9b,0.5155565
Wikipedia (en),Loss,30,6.9b,0.510096
Wikipedia (en),Loss,40,6.9b,0.5022075
Wikipedia (en),Loss,50,6.9b,0.5306839999999999
Wikipedia (en),Loss,60,6.9b,0.512539
Wikipedia (en),Loss,70,6.9b,0.5528345
Wikipedia (en),Loss,80,6.9b,0.5184525
Wikipedia (en),Loss,90,6.9b,0.5334605
Wikipedia (en),Loss,0,12b,0.5251224999999999
Wikipedia (en),Loss,10,12b,0.5077805
Wikipedia (en),Loss,20,12b,0.5190395
Wikipedia (en),Loss,30,12b,0.511551
Wikipedia (en),Loss,40,12b,0.5016765000000001
Wikipedia (en),Loss,50,12b,0.5338475
Wikipedia (en),Loss,60,12b,0.51397
Wikipedia (en),Loss,70,12b,0.556784
Wikipedia (en),Loss,80,12b,0.523237
Wikipedia (en),Loss,90,12b,0.5401775
Wikipedia (en),Min-K%,0,160m,0.5066879999999999
Wikipedia (en),Min-K%,10,160m,0.500286
Wikipedia (en),Min-K%,20,160m,0.51883
Wikipedia (en),Min-K%,30,160m,0.510087
Wikipedia (en),Min-K%,40,160m,0.5162195
Wikipedia (en),Min-K%,50,160m,0.5102595
Wikipedia (en),Min-K%,60,160m,0.5070220000000001
Wikipedia (en),Min-K%,70,160m,0.535584
Wikipedia (en),Min-K%,80,160m,0.51437
Wikipedia (en),Min-K%,90,160m,0.5074935
Wikipedia (en),Min-K%,0,410m,0.509647
Wikipedia (en),Min-K%,10,410m,0.508464
Wikipedia (en),Min-K%,20,410m,0.522322
Wikipedia (en),Min-K%,30,410m,0.512338
Wikipedia (en),Min-K%,40,410m,0.5133449999999999
Wikipedia (en),Min-K%,50,410m,0.511013
Wikipedia (en),Min-K%,60,410m,0.514027
Wikipedia (en),Min-K%,70,410m,0.535318
Wikipedia (en),Min-K%,80,410m,0.507022
Wikipedia (en),Min-K%,90,410m,0.5172289999999999
Wikipedia (en),Min-K%,0,1b,0.510878
Wikipedia (en),Min-K%,10,1b,0.507981
Wikipedia (en),Min-K%,20,1b,0.521399
Wikipedia (en),Min-K%,30,1b,0.5046845
Wikipedia (en),Min-K%,40,1b,0.513764
Wikipedia (en),Min-K%,50,1b,0.515177
Wikipedia (en),Min-K%,60,1b,0.510478
Wikipedia (en),Min-K%,70,1b,0.538717
Wikipedia (en),Min-K%,80,1b,0.5092085
Wikipedia (en),Min-K%,90,1b,0.5240819999999999
Wikipedia (en),Min-K%,0,2.8b,0.5236620000000001
Wikipedia (en),Min-K%,10,2.8b,0.510849
Wikipedia (en),Min-K%,20,2.8b,0.525776
Wikipedia (en),Min-K%,30,2.8b,0.509489
Wikipedia (en),Min-K%,40,2.8b,0.5023420000000001
Wikipedia (en),Min-K%,50,2.8b,0.53031
Wikipedia (en),Min-K%,60,2.8b,0.525496
Wikipedia (en),Min-K%,70,2.8b,0.5564770000000001
Wikipedia (en),Min-K%,80,2.8b,0.523902
Wikipedia (en),Min-K%,90,2.8b,0.546435
Wikipedia (en),Min-K%,0,6.9b,0.524028
Wikipedia (en),Min-K%,10,6.9b,0.5116219999999999
Wikipedia (en),Min-K%,20,6.9b,0.524287
Wikipedia (en),Min-K%,30,6.9b,0.5118914999999999
Wikipedia (en),Min-K%,40,6.9b,0.500872
Wikipedia (en),Min-K%,50,6.9b,0.528329
Wikipedia (en),Min-K%,60,6.9b,0.5253945
Wikipedia (en),Min-K%,70,6.9b,0.5536800000000001
Wikipedia (en),Min-K%,80,6.9b,0.520679
Wikipedia (en),Min-K%,90,6.9b,0.5397135000000001
Wikipedia (en),Min-K%,0,12b,0.5272330000000001
Wikipedia (en),Min-K%,10,12b,0.513631
Wikipedia (en),Min-K%,20,12b,0.529576
Wikipedia (en),Min-K%,30,12b,0.513169
Wikipedia (en),Min-K%,40,12b,0.506577
Wikipedia (en),Min-K%,50,12b,0.532663
Wikipedia (en),Min-K%,60,12b,0.5274139999999999
Wikipedia (en),Min-K%,70,12b,0.558873
Wikipedia (en),Min-K%,80,12b,0.530445
Wikipedia (en),Min-K%,90,12b,0.5498915
Wikipedia (en),Perplexity,0,160m,0.5003105
Wikipedia (en),Perplexity,10,160m,0.5083365
Wikipedia (en),Perplexity,20,160m,0.5107349999999999
